"_SYSTEM_ID","Question External Id","Question Name"
"674db067cea3274f5256f469","Q1_1733144675845","Ms. Reeta is the education officer and has thought of working on the health of the community members through students’ engagement. How should she ensure success?"
"674db067cea3274f5256f46f","Q2_1733144675845","Mr. Hira as the education officer as part of his duties has to channelize and monitor funds. He has realised that the schools do not share their expenses regularly. He may not receive further funds in case he fails to share the project progress and submit the expenses. What do you think he should do?"
"674db067cea3274f5256f475","Q3_1733144675845","Age"
"674db067cea3274f5256f47b","Q4_1733144675845","As the district official, one of Mr. Sanjay's objectives is to increase the enrolment of new students every year. He has to ensure that there is equal focus on genders, CwSN, and students from minority status. How should he ensure that the project running is as per the goals set?"
"674db067cea3274f5256f481","Q5_1733144675845","One of the important goals set by Ms. Rekha is to improve the performance of the school teachers by sending them for various training workshops. How should she ensure that all teachers get trained uniformly across the district?"
"674db067cea3274f5256f487","Q6_1733144675845","There have been few changes in the syllabus. Some of the principals and teachers are anxious as they feel that the syllabus has become difficult. How do you think Mr. Babu should as the education officer handle the situation?"
"674db067cea3274f5256f48d","Q7_1733144675845","Experience"
"674db067cea3274f5256f493","Q8_1733144675845","Date of birth"
"674db067cea3274f5256f499","Q9_1733144675845","Due to the pandemic, the progress on various initiatives has been slow. Some of the school principals are not in favour because they feel the burden is already enough due to virtual classes. How would you communicate with them to implement the initiatives?"
"674db067cea3274f5256f4a0","Q10_1733144675845","Mr. Ramesh is the education officer. He has to decide which projects he would like to initiate this year. How do you suggest he should decide?"
"674db067cea3274f5256f4a6","Q11_1733144675845","Your senior has informed you that you are required to make a few changes in the current Health plan of students. You have also been briefed with what changes have to be implemented. When and how would you involve school principals to implement these changes across all schools of your district?"
"674db067cea3274f5256f4ad","Q12_1733144675845","The new initiatives by the education department want district education officers to implement ICDS. How would you ensure that the initiatives are implemented across the district?"
"674db067cea3274f5256f4b3","Q13_1733144675845","As the education officer, you are required to create awareness for Women and Child Welfare in the district. How would you ensure awareness is brought across the district?"
"674db067cea3274f5256f4ba","Q14_1733144675845","Mr. Raju has realised that there is an increasing issue of high drop out among girls in your district. How would you handle the situation?"
"674db067cea3274f5256f4c0","Q15_1733144675845","You are working on improving the enrolment of new students in the schools of your district. You need to establish goals for the plan. What will you do?"
"674db067cea3274f5256f4c6","Q16_1733144675845","You would like to work on implementing BaLa in the schools of your district. How would you ensure that the project is a success?"
